Property|Type
6|0
6|1
6|2
6|3
6|13
8|4
8|5
8|6
8|3
8|7
8|8
8|9
8|10
8|11
8|12
10|3
10|4
10|5
10|13
11|3
11|4
11|5
11|13
12|3
12|4
12|5
12|13
13|3
13|4
13|5
13|13
14|3
14|4
14|5
14|13
15|3
15|4
15|5
15|13
